--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.001  000.001: --- NVIM STARTING ---
000.119  000.118: event init
000.191  000.073: early init
000.231  000.040: locale set
000.266  000.035: init first window
000.545  000.279: inits 1
000.555  000.010: window checked
000.558  000.003: parsing arguments
000.940  000.036  000.036: require('vim.shared')
001.010  000.028  000.028: require('vim.inspect')
001.044  000.028  000.028: require('vim._options')
001.047  000.105  000.049: require('vim._editor')
001.048  000.165  000.024: require('vim._init_packages')
001.050  000.326: init lua interpreter
001.085  000.036: expanding arguments
001.101  000.016: inits 2
001.289  000.188: init highlight
001.308  000.018: clear screen
001.395  000.010  000.010: require('vim.keymap')
002.004  000.128  000.128: sourcing nvim_exec2()
002.075  000.766  000.628: require('vim._defaults')
002.077  000.003: init default mappings & autocommands
002.376  000.033  000.033: sourcing /usr/local/nvim/share/nvim/runtime/ftplugin.vim
002.417  000.018  000.018: sourcing /usr/local/nvim/share/nvim/runtime/indent.vim
002.664  000.184  000.184: require('configs.basic')
003.200  000.310  000.310: require('lazy')
003.221  000.008  000.008: require('ffi')
003.248  000.014  000.014: require('vim.fs')
003.314  000.063  000.063: require('vim.uri')
003.322  000.099  000.022: require('vim.loader')
003.546  000.212  000.212: require('lazy.stats')
003.639  000.077  000.077: require('lazy.core.util')
003.761  000.120  000.120: require('lazy.core.config')
003.907  000.054  000.054: require('lazy.core.handler')
004.131  000.073  000.073: require('lazy.pkg')
004.137  000.168  000.095: require('lazy.core.meta')
004.141  000.233  000.065: require('lazy.core.plugin')
004.147  000.385  000.097: require('lazy.core.loader')
004.623  000.070  000.070: require('lazy.async')
004.890  000.198  000.198: require('lazy.manage.process')
004.975  000.083  000.083: require('lazy.terminal')
004.979  000.353  000.072: require('lazy.manage.task')
004.980  000.479  000.056: require('lazy.manage.runner')
004.982  000.551  000.072: require('lazy.manage')
004.984  000.641  000.090: require('lazy.view.commands')
005.062  000.055  000.055: require('lazy.core.fragments')
006.338  000.003  000.003: require('vim.F')
006.365  000.238  000.235: require('vim.diagnostic')
009.579  000.112  000.112: require('lazy.core.handler.cmd')
009.610  000.026  000.026: require('lazy.core.handler.event')
009.649  000.037  000.037: require('lazy.core.handler.keys')
009.664  000.014  000.014: require('lazy.core.handler.ft')
009.934  000.005  000.005: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
009.997  000.032  000.032: sourcing /home/hellotalk/.local/share/nvim/lazy/go.nvim/ftdetect/filetype.vim
009.999  000.047  000.015: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.002  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.030  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.035  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.166  000.047  000.047: sourcing nvim_exec2() called at /usr/local/nvim/share/nvim/runtime/filetype.lua:0
010.167  000.072  000.025: sourcing /usr/local/nvim/share/nvim/runtime/filetype.lua
010.168  000.081  000.009: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.208  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.211  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.310  000.017  000.017: require('tokyonight.config')
010.311  000.099  000.081: require('tokyonight')
010.331  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.334  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.456  000.022  000.022: require('guess-indent.utils')
010.486  000.029  000.029: require('guess-indent.config')
010.488  000.152  000.102: require('guess-indent')
010.534  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.537  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.839  000.251  000.251: require('gruvbox')
010.886  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
010.889  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
011.026  000.033  000.033: require('blame.git')
011.077  000.018  000.018: require('blame.highlights')
011.119  000.013  000.013: require('blame.utils')
011.133  000.014  000.014: require('blame.porcelain_parser')
011.161  000.027  000.027: require('blame.mappings')
011.163  000.085  000.031: require('blame.blame_stack')
011.201  000.037  000.037: require('blame.commit_info')
011.203  000.177  000.036: require('blame.views.window_view')
011.228  000.024  000.024: require('blame.views.virtual_view')
011.251  000.022  000.022: require('blame.formats.default_formats')
011.254  000.357  000.100: require('blame')
011.301  000.002  000.002: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
011.305  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
011.504  000.050  000.050: sourcing /home/hellotalk/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/plugs.vim
011.651  000.055  000.055: sourcing /home/hellotalk/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps.vim
011.733  000.051  000.051: sourcing /home/hellotalk/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps/all.vim
012.000  000.630  000.474: sourcing /home/hellotalk/.local/share/nvim/lazy/vim-visual-multi/plugin/visual-multi.vim
012.001  000.640  000.010: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.004  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.009  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.094  000.029  000.029: sourcing /home/hellotalk/.local/share/nvim/lazy/nvim-rooter.lua/plugin/nvim-rooter.lua
012.095  000.038  000.009: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.098  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.101  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.196  000.093  000.093: require('nvim-rooter')
012.240  000.001  000.001: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
012.244  000.000  000.000: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
013.176  000.004  000.004: sourcing nvim_exec2() called at /home/hellotalk/.config/nvim/init.lua:0
